2020-04-22 11:06:54 356  [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.novellatonyatt.MybatisPlusBaseMapperTest], using SpringBootContextLoader 
2020-04-22 11:06:54 367  [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.novellatonyatt.MybatisPlusBaseMapperTest]: no resource found for suffixes {-context.xml, Context.groovy}. 
2020-04-22 11:06:54 368  [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.novellatonyatt.MybatisPlusBaseMapperTest]: MybatisPlusBaseMapperTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration. 
2020-04-22 11:06:54 517  [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.novellatonyatt.WebApplication for test class com.novellatonyatt.MybatisPlusBaseMapperTest 
2020-04-22 11:06:54 629  [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener] 
2020-04-22 11:06:54 649  [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@1ba9117e, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@732c2a62, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@272ed83b, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@41fecb8b, org.springframework.test.context.support.DirtiesContextTestExecutionListener@120f102b, org.springframework.test.context.transaction.TransactionalTestExecutionListener@625732, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@51dcb805, org.springframework.test.context.event.EventPublishingTestExecutionListener@66498326, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@cad498c, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@1e6454ec, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@2accdbb5, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@b62d79, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@6631f5ca] 
2020-04-22 11:06:54 1041 [main] INFO  c.n.MybatisPlusBaseMapperTest - Starting MybatisPlusBaseMapperTest on ZHUANGdeMacBook-Pro.local with PID 23997 (started by zhuanghaotang in /Users/zhuanghaotang/project/springboot-demo) 
2020-04-22 11:06:54 1042 [main] INFO  c.n.MybatisPlusBaseMapperTest - No active profile set, falling back to default profiles: default 
2020-04-22 11:06:55 1955 [main] WARN  o.m.s.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.novellatonyatt]' package. Please check your configuration. 
2020-04-22 11:06:56 2344 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'shiroConfig' of type [com.novellatonyatt.config.ShiroConfig$$EnhancerBySpringCGLIB$$7732bfa1] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2020-04-22 11:06:56 2801 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'mybatis-plus-com.baomidou.mybatisplus.autoconfigure.MybatisPlusProperties' of type [com.baomidou.mybatisplus.autoconfigure.MybatisPlusProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2020-04-22 11:06:56 2808 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'mybatisPlusConfig' of type [com.novellatonyatt.config.MybatisPlusConfig$$EnhancerBySpringCGLIB$$f6de75fd] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2020-04-22 11:06:56 2817 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'paginationInterceptor' of type [com.baomidou.mybatisplus.extension.plugins.PaginationInterceptor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2020-04-22 11:06:56 2830 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'com.baomidou.mybatisplus.autoconfigure.MybatisPlusAutoConfiguration' of type [com.baomidou.mybatisplus.autoconfigure.MybatisPlusAutoConfiguration$$EnhancerBySpringCGLIB$$d46f3d98] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2020-04-22 11:06:56 2835 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'dataSourceConfig' of type [com.novellatonyatt.config.DataSourceConfig$$EnhancerBySpringCGLIB$$651309df] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2020-04-22 11:06:56 3104 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'druid' of type [com.alibaba.druid.pool.DruidDataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2020-04-22 11:06:57 3165 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'sqlSessionFactory' of type [org.apache.ibatis.session.defaults.DefaultSqlSessionFactory] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2020-04-22 11:06:57 3257 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'sqlSessionTemplate' of type [org.mybatis.spring.SqlSessionTemplate] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
