2020-04-19 14:22:07 503  [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.novellatonyatt.MybatisPlusServiceImplTest], using SpringBootContextLoader 
2020-04-19 14:22:07 551  [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.novellatonyatt.MybatisPlusServiceImplTest]: no resource found for suffixes {-context.xml, Context.groovy}. 
2020-04-19 14:22:07 553  [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.novellatonyatt.MybatisPlusServiceImplTest]: MybatisPlusServiceImplTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration. 
2020-04-19 14:22:07 770  [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.novellatonyatt.WebApplication for test class com.novellatonyatt.MybatisPlusServiceImplTest 
2020-04-19 14:22:08 912  [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener] 
2020-04-19 14:22:08 942  [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@52d645b1, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@2101b44a, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@2cc3ad05, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@710b18a6, org.springframework.test.context.support.DirtiesContextTestExecutionListener@119020fb, org.springframework.test.context.transaction.TransactionalTestExecutionListener@3d9f6567, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@c055c54, org.springframework.test.context.event.EventPublishingTestExecutionListener@25e2ab5a, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@35e5d0e5, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@73173f63, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@55562aa9, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@655ef322, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@7e276594] 
2020-04-19 14:22:08 1554 [main] INFO  c.n.MybatisPlusServiceImplTest - Starting MybatisPlusServiceImplTest on ZHUANGdeMacBook-Pro.local with PID 49578 (started by zhuanghaotang in /Users/zhuanghaotang/project/springboot-demo) 
2020-04-19 14:22:08 1555 [main] INFO  c.n.MybatisPlusServiceImplTest - No active profile set, falling back to default profiles: default 
2020-04-19 14:22:09 2612 [main] WARN  o.m.s.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.novellatonyatt]' package. Please check your configuration. 
2020-04-19 14:22:10 3002 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'shiroConfig' of type [com.novellatonyatt.config.ShiroConfig$$EnhancerBySpringCGLIB$$e221c592] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2020-04-19 14:22:10 3507 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'mybatis-plus-com.baomidou.mybatisplus.autoconfigure.MybatisPlusProperties' of type [com.baomidou.mybatisplus.autoconfigure.MybatisPlusProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2020-04-19 14:22:10 3514 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'mybatisPlusConfig' of type [com.novellatonyatt.config.MybatisPlusConfig$$EnhancerBySpringCGLIB$$61cd7bee] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2020-04-19 14:22:10 3523 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'paginationInterceptor' of type [com.baomidou.mybatisplus.extension.plugins.PaginationInterceptor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2020-04-19 14:22:10 3533 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'com.baomidou.mybatisplus.autoconfigure.MybatisPlusAutoConfiguration' of type [com.baomidou.mybatisplus.autoconfigure.MybatisPlusAutoConfiguration$$EnhancerBySpringCGLIB$$3f5e4389] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2020-04-19 14:22:10 3537 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'dataSourceConfig' of type [com.novellatonyatt.config.DataSourceConfig$$EnhancerBySpringCGLIB$$d0020fd0] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2020-04-19 14:22:10 3660 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'druid' of type [com.alibaba.druid.pool.DruidDataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2020-04-19 14:22:10 3716 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'sqlSessionFactory' of type [org.apache.ibatis.session.defaults.DefaultSqlSessionFactory] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2020-04-19 14:22:10 3735 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'sqlSessionTemplate' of type [org.mybatis.spring.SqlSessionTemplate] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2020-04-19 14:22:28 21078 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'userRepository' of type [org.mybatis.spring.mapper.MapperFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2020-04-19 14:22:28 21081 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'userRepository' of type [com.sun.proxy.$Proxy93] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2020-04-19 14:22:28 21124 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'roleRepository' of type [org.mybatis.spring.mapper.MapperFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2020-04-19 14:22:28 21126 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'roleRepository' of type [com.sun.proxy.$Proxy95] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2020-04-19 14:22:28 21151 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'menuRepository' of type [org.mybatis.spring.mapper.MapperFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2020-04-19 14:22:28 21153 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'menuRepository' of type [com.sun.proxy.$Proxy96] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2020-04-19 14:22:28 21153 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'myRealm' of type [com.novellatonyatt.config.ShiroConfig$MyRealm] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2020-04-19 14:22:28 21164 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'securityManager' of type [org.apache.shiro.web.mgt.DefaultWebSecurityManager] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2020-04-19 14:22:28 21232 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'authorizationAttributeSourceAdvisor' of type [org.apache.shiro.spring.security.interceptor.AuthorizationAttributeSourceAdvisor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2020-04-19 14:22:29 22029 [main] INFO  s.d.s.w.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)] 
2020-04-19 14:22:29 22401 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor' 
2020-04-19 14:22:29 22804 [main] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Context refreshed 
2020-04-19 14:22:29 22828 [main] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s) 
2020-04-19 14:22:29 22873 [main] INFO  s.d.s.w.s.ApiListingReferenceScanner - Scanning for api listing references 
2020-04-19 14:22:30 23134 [main] INFO  c.n.MybatisPlusServiceImplTest - Started MybatisPlusServiceImplTest in 22.118 seconds (JVM running for 23.671) 
2020-04-19 14:22:54 47448 [SpringContextShutdownHook] INFO  o.s.s.c.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor' 
2020-04-19 14:22:54 47453 [SpringContextShutdownHook] INFO  c.a.druid.pool.DruidDataSource - {dataSource-0} closing ... 
